,customer_id,Total_Orders,Total_Revenue,Average_Order_Value,Purchase_Frequency,CLV,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Churn
0,12346.0,12,77556.46,6463.038333333334,12,77556.46,326,12,77556.46,2,4,4,244,1
1,12347.0,8,5633.32,704.165,8,5633.32,2,8,5633.32,4,4,4,444,0
2,12348.0,5,2019.3999999999999,403.88,5,2019.4,75,5,2019.3999999999999,3,3,3,333,0
3,12349.0,4,4428.6900000000005,1107.1725000000001,4,4428.6900000000005,19,4,4428.6900000000005,4,3,4,434,0
4,12350.0,1,334.40000000000003,334.40000000000003,1,334.40000000000003,310,1,334.40000000000003,2,1,1,211,1
5,12351.0,1,300.93,300.93,1,300.93,375,1,300.93,2,1,1,211,1
6,12352.0,10,2849.84,284.98400000000004,10,2849.84,36,10,2849.84,3,4,4,344,0
7,12353.0,2,406.76,203.38,2,406.76,204,2,406.76,2,2,2,222,1
8,12354.0,1,1079.4,1079.4,1,1079.4,232,1,1079.4,2,1,3,213,1
9,12355.0,2,947.61,473.805,2,947.61,214,2,947.61,2,2,3,223,1
10,12356.0,6,6373.68,1062.28,6,6373.68,23,6,6373.68,4,3,4,434,0
11,12357.0,3,18287.66,6095.886666666666,3,18287.66,33,3,18287.66,3,2,4,324,0
12,12358.0,5,3887.07,777.414,5,3887.0699999999997,2,5,3887.07,4,3,4,434,0
13,12359.0,10,8935.94,893.594,10,8935.94,58,10,8935.94,3,4,4,344,0
14,12360.0,8,4252.89,531.61125,8,4252.89,52,8,4252.89,3,4,4,344,0
15,12361.0,4,511.25,127.8125,4,511.25,287,4,511.25,2,3,2,232,1
16,12362.0,11,5356.2300000000005,486.93000000000006,11,5356.2300000000005,3,11,5356.2300000000005,4,4,4,444,0
17,12363.0,2,552.0,276.0,2,552.0,110,2,552.0,2,2,2,222,1
18,12364.0,4,1313.1,328.275,4,1313.1,8,4,1313.1,4,3,3,433,0
19,12365.0,2,641.38,320.69,2,641.38,291,2,641.38,2,2,2,222,1
20,12366.0,1,500.24,500.24,1,500.24,634,1,500.24,1,1,2,112,1
21,12367.0,1,168.9,168.9,1,168.9,4,1,168.9,4,1,1,411,0
22,12368.0,1,917.7,917.7,1,917.7,628,1,917.7,1,1,3,113,1
23,12369.0,3,1791.15,597.0500000000001,3,1791.15,413,3,1791.15,1,2,3,123,1
24,12370.0,7,4320.31,617.1871428571429,7,4320.31,51,7,4320.31,3,3,4,334,0
25,12371.0,5,4067.38,813.476,5,4067.38,45,5,4067.38,3,3,4,334,0
26,12372.0,3,1298.04,432.68,3,1298.04,72,3,1298.04,3,2,3,323,0
27,12373.0,3,1127.65,375.8833333333334,3,1127.65,311,3,1127.65,2,2,3,223,1
