ds,yhat,yhat_lower,yhat_upper
2009-12-01,55539.235609607975,41627.51560327749,68830.90466824199
2009-12-02,51634.66990233615,38257.756198915245,64798.128375632725
2009-12-03,57178.905796155894,43209.24993324102,70984.36232356465
2009-12-04,47652.63482314097,34023.419766719635,60569.57590095437
2009-12-05,21144.154701409865,7631.464731626401,33718.23684584474
2009-12-06,38983.17082281033,26461.276988956357,53423.42522861363
2009-12-07,47660.96153418872,33821.999971097364,60848.594771842094
2009-12-08,49472.175572199536,36275.50992245374,63662.45452181525
2009-12-09,43986.89008299334,30883.225572821037,58669.17760317602
2009-12-10,48015.49961653675,35405.358524766896,61719.38467229374
2009-12-11,37011.08033911522,23147.77740667246,51072.665415607335
2009-12-13,25753.23549864595,11469.444840677425,39018.26774429446
2009-12-14,33396.26424293518,19365.848918428033,46690.2863960298
2009-12-15,34341.87543968772,20566.15297598853,48151.728893008556
2009-12-16,28180.107335201046,14941.236126751262,42625.79516311574
2009-12-17,31778.625904469856,17736.733439204752,45956.168565163105
2009-12-18,20543.952380969382,7695.902677145932,33279.77444294365
2009-12-20,9583.648942794742,-3916.1586077866946,22780.205167044576
2009-12-21,17772.500522665294,3540.9902388412,31250.685155776056
2009-12-22,19481.886447592864,6214.5221991029475,33748.40919064929
2009-12-23,14287.23179939726,261.25463639461833,27375.963525713272
2010-01-04,16258.51517545034,2897.692332041376,29804.599620961097
2010-01-05,20919.150280465445,7543.614015718547,34521.67273866907
2010-01-06,18458.86107606082,3846.7906798357176,31851.528882390936
2010-01-07,25794.83325503443,13589.820104196791,40167.99886449764
2010-01-08,18086.516921015424,4509.782672595707,31079.933926579524
2010-01-10,13682.12912617911,282.1375536969906,26875.469593443395
2010-01-11,24836.794171457117,11194.607292945791,38240.726493193164
2010-01-12,29122.729497657478,15811.185665321067,43110.50220077088
2010-01-13,26070.430288768384,13459.80772351601,39726.03729769863
2010-01-14,32657.661341628824,19188.424918583452,46421.46546647751
2010-01-15,24009.161968775978,10790.590174725596,37086.042799052826
2010-01-17,17396.84392039558,3865.3976726274595,30380.095673805696
2010-01-18,27364.719804150947,13964.492967654336,40473.63868539738
2010-01-19,30414.910786665503,17333.949759543284,43940.67251206376
2010-01-20,26109.95174387332,12018.184559904994,40016.16600366507
2010-01-21,31500.281531136134,18436.743754263287,44901.979806127776
2010-01-22,21682.480194065047,8648.395518576574,36128.088222998544
2010-01-24,13059.06834611171,-960.7070532838515,26464.11054022641
2010-01-25,22251.213555569004,8394.01749291607,34907.750671010464
2010-01-26,24666.477925272233,11521.092398059498,38341.91091455716
2010-01-27,19879.507759828102,6055.082829988103,33437.285445971465
2010-01-28,24989.419028949495,12263.877026377833,38877.53665076929
2010-01-29,15037.251846764215,1129.8867837314326,29021.519842050482
2010-01-31,6706.217377131341,-6557.989346062706,20176.250398003303
2010-02-01,16326.704561299997,2476.435557568059,30635.81995536098
2010-02-02,19302.404137637786,5893.81793990065,32333.912108565903
2010-02-03,15188.22537175498,2039.9658727533808,29769.253268945544
2010-02-04,21101.818153941647,7804.813477421419,35146.137940785884
2010-02-05,12001.035841411694,-1070.137010076039,26283.875768573187
2010-02-07,5544.914967137367,-7193.776368153729,19466.483380585127
2010-02-08,16153.647366713016,2865.079881686621,30029.286499326205
2010-02-09,20078.457177352757,7001.621488593197,33251.98361702229
2010-02-10,16847.91564283566,3981.084482526183,30518.602854677054
2010-02-11,23596.66967544966,10150.484364857408,37278.94783888223
2010-02-12,15202.875695667393,2097.520201235776,28839.055671307273
2010-02-14,9843.144288125175,-3584.81290562532,24563.26304757756
2010-02-15,20835.857536668213,7760.741968808153,34561.66189365284
2010-02-16,24988.385541917905,12003.949781472995,39110.97039095753
2010-02-17,21826.431127776395,8507.515276819911,35674.67943849002
2010-02-18,28527.31932165388,14707.18960817611,41954.56799958772
2010-02-19,19916.63605493182,7000.085641021859,33314.66631377704
2010-02-21,13793.925105341108,731.6722877253659,27723.67815451298
2010-02-22,24289.408506223557,10011.806681227305,37677.134398055845
2010-02-23,27854.608373214036,13877.851314586309,40371.28733953484
2010-02-24,24034.91756367146,10219.226399727515,37168.661316560574
2010-02-25,30069.877064457418,17307.814709242368,42894.40433753328
2010-02-26,20748.49528596901,7327.22035408802,33320.80128044615
2010-02-28,13291.821110071041,-28.819217332775153,26677.59055210676
2010-03-01,23224.02807192711,9524.65202319119,36263.29354313623
2010-03-02,26282.15616685216,13195.944090072247,40571.744734490196
2010-03-03,22025.807492706102,7432.828266268596,35299.786610495394
2010-03-04,27747.108163547055,13828.817601906198,41716.84653673999
2010-03-05,18185.04717763286,3970.949449547757,32665.62836554939
2010-03-07,10617.651226756265,-2973.303193605144,24321.888830302076
2010-03-08,20698.34448792952,7096.132100111983,33809.87340001054
2010-03-09,23997.291356083344,10758.450106005504,37837.44364501182
2010-03-10,20064.138114825608,6425.711617411581,33289.50499013609
2010-03-11,26219.35602891967,12466.50432256172,39222.11544336697
2010-03-12,17128.328961906525,3816.073461947253,31087.148880814064
2010-03-14,10679.149990516002,-4271.435299756107,24550.25772048143
2010-03-15,21387.73295962321,7700.531668232634,35584.083142773525
2010-03-16,25296.494987368213,11726.70552567909,38622.92431342257
2010-03-17,21934.159736714653,8011.80344892053,34400.135843757744
2010-03-18,28642.40747548672,15219.535121193692,42385.85098529063
2010-03-19,20009.898752882844,6731.40560241083,33892.74172254491
2010-03-21,14266.911605797659,1645.66347344927,27937.844831161587
2010-03-22,25217.712058525864,12101.791003436001,37474.08447035421
2010-03-23,29246.196502244118,16931.347905259958,42696.46302096326
2010-03-24,25875.735578305943,12937.959230103805,39360.464847228315
2010-03-25,32487.465518430956,18738.14714312512,45369.64698107084
2010-03-26,23613.68276659266,10663.47180420224,38146.01374497869
2010-03-28,17114.77326632297,3827.97584623834,30835.706978823317
2010-03-29,27590.934608266543,14026.038260265414,41291.52146616142
2010-03-30,31061.593926506543,17706.40126099608,44325.82695321565
2010-03-31,27065.786000246397,13990.434731467813,40016.34170773481
2010-04-01,33043.26539262679,18438.06284598801,45940.4874430889
2010-04-06,28567.01084298061,15025.001248709914,42357.8902368347
2010-04-07,24122.11675011945,10261.12684866747,37145.74668144339
2010-04-08,29766.2882629321,16404.41675344943,43784.82074978856
2010-04-09,19944.04620811437,7309.619302671435,33766.19684683414
2010-04-11,11980.078279826035,-903.6225702851281,25276.53782694974
2010-04-12,22021.46486621562,8722.783755733903,35717.69585782499
2010-04-13,25203.179540180936,12337.60363362498,38562.924042105384
2010-04-14,21072.37304356342,8292.071544577795,35124.51010159511
2010-04-15,27154.169546245936,12680.52821079006,40663.856899358565
2010-04-16,17822.42163770698,3797.708513065155,31805.227017905774
2010-04-18,11072.549199657466,-1717.3351406533077,25018.765005498404
2010-04-19,21821.739141398204,8052.829887172872,34634.61570770479
2010-04-20,25715.74700110514,12302.265695284077,39085.22458044571
2010-04-21,22280.828714141135,8536.496361028005,35572.56287772331
2010-04-22,29062.574654333355,15598.685370971249,42956.03987445883
